date,order_id,product,category,region,quantity,unit_price,total_amount
2024-01-03,ORD-001001,Wireless Earbuds,Audio,North,2,79.99,159.98
2024-01-03,ORD-001002,Phone Case,Accessories,South,3,24.99,74.97
2024-01-04,ORD-001003,Smart Watch,Wearables,East,1,299.99,299.99
2024-01-04,ORD-001004,USB-C Cable,Accessories,West,5,12.99,64.95
2024-01-05,ORD-001005,Bluetooth Speaker,Audio,North,1,149.99,149.99
2024-01-05,ORD-001006,Laptop Stand,Accessories,South,2,45.99,91.98
2024-01-06,ORD-001007,Smart Thermostat,Smart Home,East,1,179.99,179.99
2024-01-06,ORD-001008,Wireless Mouse,Electronics,West,2,34.99,69.98
2024-01-07,ORD-001009,Fitness Tracker,Wearables,North,1,129.99,129.99
2024-01-07,ORD-001010,HDMI Cable,Accessories,South,4,15.99,63.96
2024-01-08,ORD-001011,Smart Doorbell,Smart Home,East,1,199.99,199.99
2024-01-08,ORD-001012,Wireless Keyboard,Electronics,West,1,89.99,89.99
2024-01-09,ORD-001013,Noise Canceling Headphones,Audio,North,1,249.99,249.99
2024-01-09,ORD-001014,Screen Protector,Accessories,South,6,9.99,59.94
2024-01-10,ORD-001015,Smart Plug Set,Smart Home,East,2,29.99,59.98
2024-01-10,ORD-001016,Tablet,Electronics,West,1,449.99,449.99
2024-01-11,ORD-001017,Smart Ring,Wearables,North,1,199.99,199.99
2024-01-11,ORD-001018,Car Charger,Accessories,South,3,19.99,59.97
2024-01-12,ORD-001019,Portable Speaker,Audio,East,2,69.99,139.98
2024-01-12,ORD-001020,Smart Light Bulbs,Smart Home,West,4,14.99,59.96
2024-01-15,ORD-001021,Wireless Earbuds,Audio,South,1,79.99,79.99
2024-01-15,ORD-001022,Smart Watch,Wearables,North,2,299.99,599.98
2024-01-16,ORD-001023,Phone Case,Accessories,East,4,24.99,99.96
2024-01-16,ORD-001024,Laptop,Electronics,West,1,999.99,999.99
2024-01-17,ORD-001025,Smart Camera,Smart Home,North,1,129.99,129.99
2024-01-17,ORD-001026,USB Hub,Accessories,South,2,39.99,79.98
2024-01-18,ORD-001027,Soundbar,Audio,East,1,199.99,199.99
